"URL A","URL B","Similarity","Class"
"/generalne-prybyrannya-cherkasy","/himchystka-matratsa-cherkasy","4.8%","OK"
"/generalne-prybyrannya-cherkasy","/himchystka-kylymiv-cherkasy","4.8%","OK"
"/generalne-prybyrannya-kvartyry-cherkasy","/dezinfektsiya-prymishchen-cherkasy","4.8%","OK"
"/prybyrannya-pislya-remontu-cherkasy","/prybyrannya-pislya-pozhezhi-cherkasy","4.8%","OK"
"/himchystka-matratsa-cherkasy","/myttya-fasadiv-cherkasy","4.8%","OK"
"/prybyrannya-kvartyr-cherkasy","/prybyrannya-budynkiv-cherkasy","4.7%","OK"
"/prybyrannya-pislya-remontu-cherkasy","/prybyrannya-budynkiv-cherkasy","4.7%","OK"
"/prybyrannya-pislya-potopu-cherkasy","/himchystka-mebliv-cherkasy","4.7%","OK"
"/himchystka-dyvana-cherkasy","/myttya-fasadiv-cherkasy","4.7%","OK"
"/prybyrannya-komertsiynykh-prymishchen-cherkasy","/himchystka-stiltsiv-cherkasy","4.7%","OK"
"/prybyrannya-ofisiv-cherkasy","/prybyrannya-restoraniv-kafe-cherkasy","4.7%","OK"
"/generalne-prybyrannya-cherkasy","/himchystka-dyvana-cherkasy","4.6%","OK"
"/generalne-prybyrannya-kuhni-cherkasy","/himchystka-mebliv-cherkasy","4.6%","OK"
"/prybyrannya-pislya-remontu-cherkasy","/myttya-vikon-cherkasy","4.6%","OK"
"/prybyrannya-budynkiv-cherkasy","/himchystka-kovrolinu-cherkasy","4.6%","OK"
"/prybyrannya-komertsiynykh-prymishchen-cherkasy","/prybyrannya-medychnykh-tsentriv-cherkasy","4.6%","OK"
"/prybyrannya-restoraniv-kafe-cherkasy","/prybyrannya-medychnykh-tsentriv-cherkasy","4.6%","OK"
"/prybyrannya-kvartyr-cherkasy","/prybyrannya-pislya-remontu-cherkasy","4.5%","OK"
"/generalne-prybyrannya-cherkasy","/dezinfektsiya-prymishchen-cherkasy","4.5%","OK"
"/prybyrannya-pislya-potopu-cherkasy","/himchystka-stiltsiv-cherkasy","4.5%","OK"
"/prybyrannya-prylegloyi-terytoriyi-cherkasy","/himchystka-mebliv-cherkasy","4.5%","OK"
"/prybyrannya-komertsiynykh-prymishchen-cherkasy","/prybyrannya-restoraniv-kafe-cherkasy","4.5%","OK"
